Autor,Qtd_Artigos
CAETANO TRAINA JÚNIOR,27
AGMA JUCI MACHADO TRAINA,23
DANIEL DE OLIVEIRA,19
MARCOS ANDRÉ GONÇALVES,19
CRISTINA DUTRA DE AGUIAR CIFERRI,14
WAGNER MEIRA JR.,14
MARTA MATTOSO,13
MIRELLA M. MORO,11
JAVAM C. MACHADO,11
VANESSA BRAGANHOLO,9
SANDRA DE AMO,9
VALÉRIA CESÁRIO TIMES,9
RICARDO RODRIGUES CIFERRI,9
JOSÉ ANTÔNIO FERNANDES DE MACEDO,9
ELAINE PARROS MACHADO DE SOUSA,8
ALBERTO H. F. LAENDER,8
MARCO ANTONIO CASANOVA,8
ALEXANDRE PLASTINO,8
ANA CAROLINA SALGADO,7
JOSÉ MARIA MONTEIRO,7
ANGELO BRAYNER,7
MICHELE A. BRANDÃO,7
SÉRGIO LIFSCHITZ,7
KARIN BECKER,7
JUSSARA MARQUES ALMEIDA,6
EDUARDO CUNHA DE ALMEIDA,6
EDLENO SILVA DE MOURA,6
RONALDO DOS SANTOS MELLO,6
MARCOS VINICIUS NAVES BEDO,6
ALTIGRAN SOARES DA SILVA,6
CLÁUDIO DE SOUZA BAPTISTA,6
LÚCIO F. D. SANTOS,5
MARCO A. CRISTO,5
ROBSON LEONARDO FERREIRA CORDEIRO,5
RICARDO DA S. TORRES,5
RICARDO MARCONDES MARCACINI,5
VAGNER JOSÉ DO SACRAMENTO RODRIGUES,5
MARIANA O. SILVA,5
MAXWELL GUIMARÃES DE OLIVEIRA,5
MARIA LUIZA MACHADO CAMPOS,5
PATRICK VALDURIEZ,5
CARLOS EDUARDO S. PIRES,5
ADRIANO VELOSO,5
ANDERSON CHAVES CARNIEL,5
ANDRÉ CARLOS PONCE DE LEON FERREIRA DE CARVALHO,5
GISELE LOBO PAPPA,5
GABRIEL P. OLIVEIRA,5
DANIEL S. KASTER,5
ALINE PAES,4
BIANCA ZADROZNY,4
BERNADETTE FARIAS LÓSCIO,4
CLODOVEU AUGUSTO DAVIS JR.,4
CARINA F. DORNELES,4
JOÃO EDUARDO FERREIRA,4
ALEXANDRE A. B. LIMA,4
ANDRÉ SANTANCHÈ,4
ANISIO LACERDA,4
LEONARDO ANDRADE RIBEIRO,4
LUCIANO BARBOSA,4
LUIZ HENRIQUE DE CAMPOS MERSCHMANN,4
LUCIANA A. S. ROMANI,4
RENATO FILETO,4
MARCELA XAVIER RIBEIRO,4
MÔNICA R. P. FERREIRA,4
NIVIO ZIVIANI,4
CLÁUDIO E. C. CAMPELO,4
THIAGO SALLES,4
VIVIANE PEREIRA MOREIRA,4
WELLINGTON SANTOS MARTINS,4
WILLIAN DENER DE OLIVEIRA,4
ROBSON  DO NASCIMENTO FIDALGO,4
THIAGO LUÍS LOPES SIQUEIRA,4
REGIS PIRES MAGALHÃES,4
SÁVIO S. T. DE OLIVEIRA,4
SÉRGIO MANUEL  SERRA DA CRUZ,4
RENATA GALANTE,3
VANIA MARIA P. VIDAL,3
MARISTELA HOLANDA,3
TIAGO GARCIA DE SENNA CARNEIRO,3
THIAGO H. P. SILVA,3
NEUCIMAR A. LEITE,3
RUDINEI GOULARTE,3
MARCOS R. VIEIRA,3
MARCOS CARVALHO,3
MIRELA TEIXEIRA CAZZOLATO,3
KELLY R. BRAGHETTO,3
LÍVIA ALMADA CRUZ,3
LUIZ OLMES CARVALHO,3
LUIS ENRIQUE ZÁRATE,3
ISABEL ROSSETI,3
FERNANDA BAIÃO,3
