Instituicao,Total_Artigos
UNIVERSIDADE FEDERAL DE MINAS GERAIS,73
UNIVERSIDADE DE SÃO PAULO,72
UNIVERSIDADE FEDERAL FLUMINENSE,37
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,33
UNIVERSIDADE FEDERAL DE PERNAMBUCO,24
UNIVERSIDADE FEDERAL DO CEARÁ,20
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,18
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,18
UNIVERSIDADE FEDERAL DE SANTA CATARINA,17
UNIVERSIDADE ESTADUAL DE CAMPINAS,16
UNIVERSIDADE FEDERAL DO AMAZONAS,13
INSTITUTO TECNOLÓGICO DE AERONÁUTICA,12
UNIVERSIDADE FEDERAL DE SÃO CARLOS,11
UNIVERSIDADE FEDERAL DE OURO PRETO,10
INSTITUTOS FEDERAIS,10
FEDERAL UNIVERSITY OF SÃO CARLOS,10
UNIVERSIDADE FEDERAL DE GOIÁS,10
PUC-RIO,9
UNIVERSIDADE DE FORTALEZA,9
UNIVERSIDADE FEDERAL DO PARANÁ,8
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,7
FEDERAL UNIVERSITY OF CEARÁ,5
IBM RESEARCH,5
FEDERAL UNIVERSITY OF UBERLÂNDIA,5
CARNEGIE MELLON UNIVERSITY,4
UNIVERSIDADE DE BRASÍLIA,4
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,4
UNIVERSITY OF ALBERTA,4
FEDERAL UNIVERSITY OF PARANÁ,3
FUNDAÇÃO OSWALDO CRUZ,3
UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,3
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,3
UNIVERSIDADE FEDERAL DE VIÇOSA,3
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA,3
LABORATÓRIO NACIONAL DE COMPUTAÇÃO CIENTÍFICA,3
UNIVERSITY OF UTAH,3
UNIVERSITY OF LUXEMBOURG,3
UNIVERSITY OF KENT,3
UEL,3
UNIRIO,3
UC-RIVERSIDE,2
SOFTWARE COMPETENCE CENTER HAGENBERG,2
SAP GERMANY,2
GOGEO,2
FEDERAL UNIVERSITY OF PIAUÍ,2
FEDERAL UNIVERSITY OF SANTA MARIA,2
FEDERAL UNIVERSITY OF JUIZ DE FORA,2
FEDERAL UNIVERSITY OF FRONTEIRA SUL,2
FEDERAL UNIVERSITY OF PARAÍBA,2
FEDERAL UNIVERSITY OF TECHNOLOGY - PARANÁ,2
ETIS-CNRS-ENSEA-UNIVERSITÉ DE CERGY PONTOISE,2
INRIA AND LIRMM MONTPELLIER,2
INSTITUTO SUPERIOR TÉCNICO/INESC-ID,2
FEDERAL UNIVERSITY OF ESPÍRITO SANTO,2
AT&T LABS - RESEARCH,2
EMPRESA BRASILEIRA DE PESQUISA AGROPECUÁRIA,2
UNIVERSITÉ DE TOURS,2
UNIVERSITY OF KAISERSLAUTERN,2
UNIVERSITY OF IA,2
UNIVERSIDADE FEDERAL DO RIO GRANDE,2
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,2
VICTORIA UNIVERSITY OF WELLINGTON,2
UNIVERSITY OF FEIRA DE SANTANA,2
UNIVERSITÉ DE BOURGOGNE,2
UNIVERSIDADE FEDERAL DE ALAGOAS,2
DATABASES AND DISTRIBUTED SYSTEMS GROUP TECHNISCHE UNIVERSITÄT DARMSTADT,1
FEDERAL UNIVERSITY OF PARANÁ / FEDERAL INSTITUTE OF PARANÁ,1
FEDERAL UNIVERSITY OF UBERLÂNDIA / GETULIO VARGAS FOUNDATION,1
FEDERAL UNIVERSITY OF TECHNOLOGY - FEDERAL UNIVERSITY OF PARANÁ,1
FEDERAL UNIVERSITY OF MATO GROSSO DO SUL,1
FEDERAL INSTITUTE OF PIAUÍ,1
FEDERAL INSTITUTE OF EDUCATION SCIENCE AND TECHNOLOGY OF PARAIBA,1
FEDERAL INSTITUTE OF EDUCATION SCIENCE AND TECHNOLOGY BAIANO,1
ESCOLA POLITÉCNICA DA UNIVERSIDADE DE SÃO PAULO,1
ECSE - RENSSELAER POLYTECHNIC INSTITUTE,1
ESCOLA EIRA DE ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS FUNDAÇÃO GETULIO VARGAS (FGV),1
DIVISÃO DE OBSERVAÇÃO DA TERRA E GEOINFORMÁTICA (DIOTG) COORDENAÇÃO GERAL DE CIÊNCIAS DA TERRA (CG-CT),1
DUETO TECNOLOGIA LTDA,1
DEPT. OF COMPUTER SCIENCE UNIVERSIDAD DE CHILE,1
DEPARTMENT OF NEW MEDIA TECHNOLOGY MODUL UNIVERSITY VIENNA,1
DIGITRO TECNOLOGIA SA,1
DEZOO UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,1
DEPARTMENT OF INFORMATION SYSTEMS AND OPERATIONS VIENNA UNIVERSITY OF ECONOMICS AND BUSINESS,1
DEPARTMENT OF COMPUTER ENGINEERING FACENS UNIVERSITY,1
DEPARTAMENTO DE CIÊNCIA DA COMPUTAÇÃO UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,1
DEPARTAMENTO DE INFORMÁTICA - UNIVERSIDADE FEDERAL DE VIÇOSA,1
COLLEGE OF ENGINEERING TRIVANDRUM,1
CMU,1
CENIDET,1
CENTER FOR EXPERIMENTAL RESEARCH IN COMPUTER SYSTEMS GEORGIA INSTITUTE OF TECHNOLOGY,1
CHOCOLATE CLOUD,1
BTU COTTBUS,1
BRADESCO BANK S.A.,1
CESAR SCHOOL,1
CONSIGLIO NAZIONALE DELLE RICERCHE (CNR) -ISTI,1
CONTROLADORIA GERAL DA UNIÃO,1
CPQD FOUNDATION,1
DALHOUSIE UNIVERSITY,1
DATA DOMAIN,1
CINNECTA - PART OF MATERA,1
CENTER OF MATHEMATICS COMPUTING AND COGNITION FEDERAL UNIVERSITY OF ABC,1
AMARO JOSÉ DA SILVA,1
NATIONAL LABORATORY FOR SCIENTIFIC COMPUTING,1
NATIONAL INSTITUTE FOR SPACE RESEARCH (INPE),1
MODUL UNIVERSITY VIENNA DEPARTMENT OF NEW MEDIA TECHNOLOGY,1
METHODIST UNIVERSITY OF PIRACICABA,1
MERCADO LIVRE,1
LUIZALABS,1
LUIZ CARLOS GOMES MOREIRA AND ROSANE MANZONI MOREIRA,1
LONDRINA STATE UNIVERSITY,1
JUS,1
JET PROPULSION LABORATORY-NASA,1
ISTI-CNR,1
ISBAN - GRUPO SANTANDER,1
INSTITUTO DE COMPUTACIÓN FACULTAD DE INGENIERÍA UNIVERSIDAD DE LA REPÚBLICA,1
INSTITUTO DE INFORMÁTICA UNIVERSIDADE FEDERAL DE GOIÁS,1
INSTITUTO MAUÁ DE TECNOLOGIA,1
INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,1
INRIA E LIRMM - UNIVERSITY OF MONTPELLIER,1
INRIA - UNIVERSITY OF NANTES,1
INRIA - UNIVERSITY OF MONTPELLIER,1
INPE - NATIONAL INSTITUTE FOR SPACE RESEARCH,1
INSTITUTO ATLÂNTICO,1
INSTITUTO AMBIENTAL E TECNOLÓGICO DA AMAZÔNIA,1
INSTITUTE OF PARALLEL AND DISTRIBUTED SYSTEMS UNIVERSITY OF STUTTGART,1
INRIA UNIVERSITY OF MONTPELLIER CNRS LIRMM FRANCE,1
IMPLANTA IT SOLUTIONS LTDA,1
INDIAN INSTITUTE OF TECHNOLOGY MADRAS,1
FUCAPI,1
