Autor_x,Autor_y,Trabalhos_Juntos
AGMA JUCI MACHADO TRAINA,CAETANO TRAINA JÚNIOR,22
CRISTINA DUTRA DE AGUIAR CIFERRI,RICARDO RODRIGUES CIFERRI,9
DANIEL DE OLIVEIRA,MARTA MATTOSO,6
DANIEL DE OLIVEIRA,MARCOS VINICIUS NAVES BEDO,5
ANGELO BRAYNER,JOSÉ MARIA MONTEIRO,5
ALEXANDRE A. B. LIMA,MARTA MATTOSO,4
THIAGO LUÍS LOPES SIQUEIRA,VALÉRIA CESÁRIO TIMES,4
ALBERTO H. F. LAENDER,MARCOS ANDRÉ GONÇALVES,4
ANDERSON CHAVES CARNIEL,RICARDO RODRIGUES CIFERRI,4
CAETANO TRAINA JÚNIOR,WILLIAN DENER DE OLIVEIRA,4
ALTIGRAN SOARES DA SILVA,EDLENO SILVA DE MOURA,4
AGMA JUCI MACHADO TRAINA,WILLIAN DENER DE OLIVEIRA,4
AGMA JUCI MACHADO TRAINA,MÔNICA R. P. FERREIRA,4
AGMA JUCI MACHADO TRAINA,LÚCIO F. D. SANTOS,4
CAETANO TRAINA JÚNIOR,LÚCIO F. D. SANTOS,4
ALEXANDRE PLASTINO,BIANCA ZADROZNY,4
ANDERSON CHAVES CARNIEL,CRISTINA DUTRA DE AGUIAR CIFERRI,4
CAETANO TRAINA JÚNIOR,MÔNICA R. P. FERREIRA,4
GABRIEL P. OLIVEIRA,MARIANA O. SILVA,4
JOSÉ ANTÔNIO FERNANDES DE MACEDO,REGIS PIRES MAGALHÃES,4
JOSÉ MARIA MONTEIRO,SÉRGIO LIFSCHITZ,4
JUSSARA MARQUES ALMEIDA,MARCOS ANDRÉ GONÇALVES,4
MARCOS ANDRÉ GONÇALVES,THIAGO SALLES,4
MARCOS ANDRÉ GONÇALVES,WAGNER MEIRA JR.,4
MARTA MATTOSO,VANESSA BRAGANHOLO,4
MICHELE A. BRANDÃO,MIRELLA M. MORO,4
ADRIANO VELOSO,MARCOS ANDRÉ GONÇALVES,3
AGMA JUCI MACHADO TRAINA,MARCOS VINICIUS NAVES BEDO,3
DANIEL DE OLIVEIRA,ISABEL ROSSETI,3
ALEXANDRE PLASTINO,LUIZ HENRIQUE DE CAMPOS MERSCHMANN,3
ADRIANO VELOSO,WAGNER MEIRA JR.,3
CLÁUDIO E. C. CAMPELO,MAXWELL GUIMARÃES DE OLIVEIRA,3
CAETANO TRAINA JÚNIOR,MARCOS VINICIUS NAVES BEDO,3
ANA MARIA H. ÁVILA,LUCIANA A. S. ROMANI,3
ALINE PAES,DANIEL DE OLIVEIRA,3
CLÁUDIO DE SOUZA BAPTISTA,MAXWELL GUIMARÃES DE OLIVEIRA,3
ANGELO BRAYNER,SÉRGIO LIFSCHITZ,3
AGMA JUCI MACHADO TRAINA,LUCIANA A. S. ROMANI,3
AGMA JUCI MACHADO TRAINA,ANA MARIA H. ÁVILA,3
CAETANO TRAINA JÚNIOR,ROBSON LEONARDO FERREIRA CORDEIRO,3
CAETANO TRAINA JÚNIOR,CRISTINA DUTRA DE AGUIAR CIFERRI,3
CAETANO TRAINA JÚNIOR,DANIEL S. KASTER,3
CAETANO TRAINA JÚNIOR,ELAINE PARROS MACHADO DE SOUSA,3
ALEX A. FREITAS,ALEXANDRE PLASTINO,3
ELAINE PARROS MACHADO DE SOUSA,LUCIANA A. S. ROMANI,3
CRISTINA DUTRA DE AGUIAR CIFERRI,THIAGO LUÍS LOPES SIQUEIRA,3
GABRIEL P. OLIVEIRA,MICHELE A. BRANDÃO,3
GISELE LOBO PAPPA,MARCOS ANDRÉ GONÇALVES,3
JAVAM C. MACHADO,JOSÉ MARIA MONTEIRO,3
JOSÉ ANTÔNIO FERNANDES DE MACEDO,LÍVIA ALMADA CRUZ,3
CELSO FRANÇA,MARCOS CARVALHO,3
AGMA JUCI MACHADO TRAINA,DANIEL S. KASTER,3
CRISTINA DUTRA DE AGUIAR CIFERRI,VALÉRIA CESÁRIO TIMES,3
LÚCIO F. D. SANTOS,MÔNICA R. P. FERREIRA,3
AGMA JUCI MACHADO TRAINA,ELAINE PARROS MACHADO DE SOUSA,3
ANDERSON A. FERREIRA,MARCOS ANDRÉ GONÇALVES,3
