Instituicao,Total_Artigos
N/A,128
USP,72
UFMG,62
UFF,37
UFRJ,31
Universidade Federal do Ceará,21
Universidade Federal de Pernambuco,20
ICMC/USP,20
ICMC - University of São Paulo at São Carlos - Brazil,20
USP-ICMC,20
Fluminense Federal University (IC/UFF),19
IC/UFF,19
Universidade Federal do Rio de Janeiro,17
Federal University of Ceará,17
Federal University of Minas Gerais,15
PUC-Rio,14
Universidade Federal de Santa Catarina,14
Universidade Federal de Campina Grande,13
COPPE/Federal University of Rio de Janeiro,13
Federal University of São Carlos,13
Federal University of Rio de Janeiro,13
Universidade Federal de São Carlos,13
Federal University of Pernambuco,13
Universidade Federal do Rio Grande do Sul,12
UFSC,12
Universidade Federal do Amazonas,11
Universidade Federal do Paraná,10
Universidade Federal de Goiás,10
Federal University of Uberlândia,10
Universidade Federal de Uberlândia,10
UFSCAR,10
Federal Univesity of Ceará,9
Federal University of Campina Grande,9
UFU,9
"Computer Science Department, Universidade Federal de Minas Gerais",9
Universidade de Fortaleza,8
University of Campinas,8
Universidade Federal Fluminese,8
UFAM,8
"Institute of Computing, UNICAMP",8
Carnegie Mellon University,7
Instituto Federal de Minas Gerais,7
Federal University of Paraná,7
Universidade Federal de Minas Gerais / Instituto Federal de Minas Gerais,7
Federal University of Rio Grande do Sul,7
Pontifícia Universidade Católica do Rio de Janeiro,7
UFRGS,7
Universidade Federal do Rio Grande do Sul (UFRGS),7
Pontifical Catholic University of Rio de Janeiro,7
Universidade Federal de Camina Grande,7
"Laboratório de Sistemas de Informação, Universidade Federal de Campina Grande (UFCG) - Brazil",7
UNIFOR,7
UFPE,7
University of Fortaleza,7
University of Fortaleza - UNIFOR,7
Universidade Federal de Santa Catarina (UFSC),6
Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),6
PUC-RIO,6
Universidade Federal de Ouro Preto,6
UNICAMP,6
Federal University of Paraná (UFPR),5
Federal University of Technology - Paraná,5
INRIA - University of Montpellier,5
"Inria, University of Montpellier, CNRS, LIRMM, France",5
Federal University of Campina Grande - UFCG,5
"Universidade Federal do Paraná, Brazil",5
INRIA e LIRMM - University of Montpellier,5
UEL,5
UFCG,5
Zunnit Technologies,5
PUC-RIo,5
"INRIA and LIRMM, Montpellier",5
University of Brasilia,4
Federal Center of Technological Education of Rio de Janeiro,4
University of Sao Paulo,4
University of Brasília (UNB),4
Universidade Federal de São João Del Rei,4
"University of Londrina, UEL",4
Federal University of Ouro Preto,4
"Institute of Computing -- UNICAMP, Brazil",4
Embrapa Agricultural Informatics,4
IBM Research,4
Londrina State University,4
Universidade Federal de Campina Grande (UFCG),4
"IBM Research, Brazil",4
goGeo,4
Federal University of Santa Catarina,4
Embrapa Agricultural Informatics - Campinas,4
University of Alberta,4
Unicamp,4
Institute of Computing/University of Campinas,4
Embrapa Agriculture Informatics at Campinas - Brazil,4
